datadate,itime_m,index_level_iday,date_alt,hour,min
02jan2020,01jan1960 09:30:00,.9979147,"20200102",9,30
02jan2020,01jan1960 09:40:00,.9931983,"20200102",9,40
02jan2020,01jan1960 09:50:00,.989209,"20200102",9,50
02jan2020,01jan1960 10:00:00,.9859835,"20200102",10,0
02jan2020,01jan1960 10:10:00,.9868101,"20200102",10,10
02jan2020,01jan1960 10:20:00,.9882895,"20200102",10,20
02jan2020,01jan1960 10:30:00,.9838548,"20200102",10,30
02jan2020,01jan1960 10:40:00,.9850209,"20200102",10,40
02jan2020,01jan1960 10:50:00,.985492,"20200102",10,50
02jan2020,01jan1960 11:00:00,.9842294,"20200102",11,0
02jan2020,01jan1960 11:10:00,.9822077,"20200102",11,10
02jan2020,01jan1960 11:20:00,.9821771,"20200102",11,20
02jan2020,01jan1960 11:30:00,.9836223,"20200102",11,30
02jan2020,01jan1960 11:40:00,.9842836,"20200102",11,40
02jan2020,01jan1960 11:50:00,.9833065,"20200102",11,50
02jan2020,01jan1960 12:00:00,.9839689,"20200102",12,0
02jan2020,01jan1960 12:10:00,.9837366,"20200102",12,10
02jan2020,01jan1960 12:20:00,.9829339,"20200102",12,20
02jan2020,01jan1960 12:30:00,.9823459,"20200102",12,30
02jan2020,01jan1960 12:40:00,.9809374,"20200102",12,40
02jan2020,01jan1960 12:50:00,.9797821,"20200102",12,50
02jan2020,01jan1960 13:00:00,.9799227,"20200102",13,0
02jan2020,01jan1960 13:10:00,.9799269,"20200102",13,10
02jan2020,01jan1960 13:20:00,.9802454,"20200102",13,20
02jan2020,01jan1960 13:30:00,.9801488,"20200102",13,30
02jan2020,01jan1960 13:40:00,.9802982,"20200102",13,40
02jan2020,01jan1960 13:50:00,.9801207,"20200102",13,50
02jan2020,01jan1960 14:00:00,.9791126,"20200102",14,0
02jan2020,01jan1960 14:10:00,.9796333,"20200102",14,10
02jan2020,01jan1960 14:20:00,.9796271,"20200102",14,20
02jan2020,01jan1960 14:30:00,.9793974,"20200102",14,30
02jan2020,01jan1960 14:40:00,.9797933,"20200102",14,40
02jan2020,01jan1960 14:50:00,.9799656,"20200102",14,50
02jan2020,01jan1960 15:00:00,.9795814,"20200102",15,0
02jan2020,01jan1960 15:10:00,.9799427,"20200102",15,10
02jan2020,01jan1960 15:20:00,.9797243,"20200102",15,20
02jan2020,01jan1960 15:30:00,.9798579,"20200102",15,30
